is_pravnaoseba,davcni_zavezanec,davcna_st,maticna_st,dolgo_ime,kratko_ime,naslov,posta
TRUE,TRUE,57545197,,"ALUKOMEN Holding, podjetje Al stavbnih in drugih konstrukcij d.d.",ALUKOMEN Holding d.d.,xxx,5000
TRUE,TRUE,78552478,,"3D ART, oblikovanje, razvoj in izdelava POS stojal, d.o.o.",3D ART d.o.o.,Glavarjeva ulica 49,1000
TRUE,TRUE,55956149,,"ADRIAPLIN, Podjetje za distribucijo zemeljskega pl",ADRIAPLIN d.o.o.,Dunajska cesta 7,1000
TRUE,TRUE,14717468,,AGENCIJA REPUBLIKE SLOVENIJE ZA JAVNOPRAVNE EVIDEN,AJPES,Tržaška cesta 16,1000
TRUE,TRUE,48549860,,"AVTO KRKA VI, d.o.o.","AVTO KRKA VI, d.o.o.",Cankarjeva cesta 16,1000
TRUE,TRUE,72602520,,Avtomatic servis d.o.o.,Avtomatic servis d.o.o.,Verovškova ulica 60e,1000
TRUE,TRUE,18224326,,"Big Bang, trgovina in storitve, d.o.o.","Big Bang, d.o.o.",Šmartinska cesta 152,1000
TRUE,TRUE,58257551,,"Bolha, spletno oglaševanje d.o.o.",Bolha d.o.o.,Bravničarjeva ulica 13,1000
TRUE,TRUE,74639137,,BUREA VERITAS d.o.o.,BUREA VERITAS d.o.o.,Linhartova cesta 49A,1000
TRUE,TRUE,65086015,,"COMSHOP, trgovina za računalniško, pisarniško in m",COMSHOP d.o.o.,Šmartinska cesta 152,1000
TRUE,TRUE,24907448,,DOMENCA prijazne internet rešitve d.o.o.,DOMENCA d.o.o.,Pod hribom 55,1000
TRUE,TRUE,11111909,,"DZS, založništvo in trgovina, d.d.","DZS, d.d.",Dalmatinova ulica 2,1000
TRUE,TRUE,37051920,,EFAFLEX INŽENIRING D.O.O.,EFAFLEX INŽENIRING D.O.O.,Devova ulica 5,1000
TRUE,TRUE,30432715,,ELEKTROCENTER D.O.O.,ELEKTROCENTER d.o.o.,Zvezna ulica 2b,1000
TRUE,TRUE,34058117,,"EUROTON Trgovinsko in storitveno podjetje, družba ","EUROTON, d.o.o.",Tržaška cesta 383,1000
TRUE,TRUE,24073725,,IC elektronika d.o.o.,IC elektronika d.o.o.,Vodovodna cesta 100,1000
TRUE,TRUE,71956166,,MAK CMC tehnologija vode d.o.o.,MAK CMC d.o.o.,Tbilisijska ulica 81,1000
TRUE,TRUE,74416332,,"MEDIAMARKET Podjetje za proizvodnjo, trgovino in p","MEDIAMARKET, d.o.o., Ljub",KAJUHOVA ULICA 15,1000
TRUE,TRUE,62818686,,MIDES INTERNATIONAL inženiring sistemov za nepreki,MIDES INTERNATIONAL d.o.o,Kapiteljska ulica 9,1000
TRUE,TRUE,47429518,,MINISTRSTVO ZA NOTRANJE ZADEVE POLICIJA,POLICIJA,"Štefanova ulica 2,",1000
TRUE,TRUE,48494216,,MLADINSKA KNJIGA TRGOVINA d.o.o.,MK Trgovina d.o.o.,Slovenska cesta 29,1000
TRUE,TRUE,75141043,,OBI trgovina z materiali za gradnjo in dom d.o.o.,OBI d.o.o.,Jurčkova cesta 226,1000
TRUE,TRUE,80267432,,"PETROL, Slovenska energetska družba, d.d., Ljublja",PETROL d.d., Dunajska cesta 50,1000
TRUE,TRUE,91580463,,Porsche Leasing SLO d.o.o. firma za leasing Ljubljana,Porsche Leasing SLO d.o.o.,Verovškova ulica 74,1000
TRUE,TRUE,45884595,,POSLOVNI SISTEM MERCATOR d.d.,"MERCATOR, d.d. ",Dunajska cesta 107,1000
TRUE,TRUE,95927239,,"REPUBLIKA SLOVENIJA, MINISTRSTVO ZA KMETIJSTVO IN ",ARSO,Vojkova cesta 1B,1000
TRUE,TRUE,71638440,,"SCHINDLER SLOVENIJA dvigala in pomične stopnice, d",SCHINDLER SLOVENIJA d.o.o,Šmartinska cesta 140,1000
TRUE,TRUE,60595256,,SI.MOBIL D.D.,SI.MOBIL,Šmartinska cesta 134b,1000
TRUE,TRUE,65300645,,SINTAL d.o.o.,SINTAL d.o.o.,Litostrojska cesta 38,1000
TRUE,TRUE,32156782,,SPAR SLOVENIJA trgovsko podjetje d.o.o. Ljubljana,SPAR SLOVENIJA d.o.o.,Letališka cesta 26,1000
TRUE,TRUE,98511734,,TELEKOM SLOVENIJE D.D.,TELEKOM SLOVENIJE D.D.,Cigaletova 15,1000
TRUE,TRUE,44287135,,TRŽNI INŠPEKTORAT RS,TRŽNI INŠPEKTORAT RS,Dunajska cesta 160,1000
TRUE,TRUE,90034007,,"VIRTUA IT, družba za informacijske tehnologije, d.o.o.","VIRTUA IT, d.o.o.",Savska cesta 3,1000
TRUE,TRUE,80040306,,ZAVAROVALNICA TRIGLAV d.d.,ZAVAROVALNICA TRIGLAV d.d,Miklošičeva cesta 19,1000
TRUE,TRUE,85876500,,ZAVOD ZA POKOJNINSKO IN INVALIDSKO ZAVAROVANJE SLO,ZPIZ,Kolodvorska ulica 15,1000
TRUE,TRUE,66248906,,"DECAL, Barbara Škulj s.p.","DECAL, Barbara Škulj s.p.",Bergantova cesta 21,1215
TRUE,TRUE,59314923,,Lidl Slovenija d.o.o. k.d.,Lidl Slovenija d.o.o.,Pod lipami 1,1218
TRUE,TRUE,91043522,,HOFER TRGOVINA d.o.o.,HOFER TRGOVINA d.o.o.,Kranjska cesta 1,1225
TRUE,TRUE,17074576,,KOAL JH d.o.o.,KOAL,Dunajska 421,1231
TRUE,TRUE,94615225,,KONE d.o.o. Ljubljana,KONE d.o.o. Ljubljana,Brnčičeva 5,1231
TRUE,TRUE,64200957,,"M-Tehnika, d.d.","M-Tehnika, d.d.",Pot k sejmišču 32,1231
TRUE,TRUE,22805842,,"VELOG Veletrgovina, servis in logistika d.o.o. Lju",VELOG d.o.o. Ljubljana,Brnčičeva ulica 31,1231
TRUE,TRUE,89597818,,ELZAK D.O.O.,ELZAK d.o.o.,Kamniška cesta 24a,1235
TRUE,TRUE,89012194,,BROWN BEAR TEAM d.o.o.,BROWN BEAR TEAM d.o.o.,Gmajna 16,1236
TRUE,TRUE,49860640,,"DVG INŽENIRING, inženiring v dvigalogradnji, d.o.o.",DVG INŽENIRING d.o.o.,Špruha 7,1236
TRUE,TRUE,61556483,,"OTIS LIFT d.o.o., projektiranje, prodaja, montaža in vzdrževanje dvigal",OTIS LIFT d.o.o.,Motnica 5,1236
TRUE,TRUE,32288344,,"LECOM Proizvodno in trgovsko podjetje, d.o.o., Kamnik","LECOM, d.o.o.",Kovinarska cesta 30,1241
TRUE,TRUE,43538860,,"OMNIMARKT PODJETJE ZA TRGOVINO, PROIZVODNJO IN STORITVE",OMNIMARKT D.O.O.,Prešernova ulica 12,1241
TRUE,TRUE,52328546,,Wap ALTO čistilni sistemi d.o.o.,Wap ALTO d.o.o.,Perovo 27,1241
TRUE,TRUE,50977059,,"KAMI CENTER d.o.o., trgovina in gostinstvo",KAMI CENTER d.o.o.,Sneberska cesta 50,1260
TRUE,TRUE,21282692,,ZVD Zavod za varstvo pri delu d.o.o.,ZVD d.o.o. , Chengdujska cesta 25,1260
TRUE,TRUE,27383865,,"AGROLIT podjetje za proizvodnjo, trgovino in stori",AGROLIT d.o.o.,Ljubljanska cesta 12B,1270
TRUE,TRUE,17112338,,BOSSPLAST d.o.o.,BOSSPLAST d.o.o.,Pod jelšami 5,1290
TRUE,TRUE,73354376,,GOSPODARSKA ZBORNICA SLOVENIJ,GZS,DIMIČEVA ULICA 13,1504
TRUE,TRUE,45123136,,AGENCIJA ZA ENERGIJO,AGENCIJA ZA ENERGIJO,Strossmayerjeva ulica 30,2000
TRUE,TRUE,83226206,,INŠTITUT ZA VARSTVO PRI DELU IN VARSTVO OKOLJA MAR,IVD MARIBOR p.o.,Valvasorjeva ulica 73,2000
TRUE,TRUE,96218215,,"MODO, trgovina in storitve, d.o.o.",MODO d.o.o.,Ulica Veljka Vlahoviča 64,2000
TRUE,TRUE,19651295,,"NACIONALNI LABORATORIJ ZA ZDRAVJE, OKOLJE IN HRANO",NLZOH,Prvomajska ulica 1,2000
TRUE,TRUE,94314527,,NOVA KREDITNA BANKA MARIBOR d.d.,NOVA KBM d.d.,Ulica Vita Kraigherja 4,2000
TRUE,TRUE,42061474,,"RMTD, svetovanje in inženiring, Darja Dovnik s.p.","RMTD, Darja Dovnik s.p. ",Šumenjakova ulica 10,2341
TRUE,TRUE,96916206,,AKUMULATORSKI CENTER GROBELNIK d.o.o.,AKUCENTER GROBELNIK D.O.O,Graška Gora 22,2381
TRUE,TRUE,11885203,,"INTER DISKONT družba za proizvodnjo, trgovino in s",INTER DISKONT d.o.o.,PARTIZANSKA CESTA 15,2390
TRUE,TRUE,25028022,,POŠTA SLOVENIJE D.O.O.,POŠTA SLOVENIJE D.O.O.,Slomškov trg 10,2500
TRUE,TRUE,44814631,,ZAVAROVALNICA MARIBOR d.d.,ZAVAROVALNICA MARIBOR d.d,Cankarjeva ulica 3,2507
TRUE,TRUE,11862521,,"ECOTIP - podjetje za proizvodnjo, trgovino in stor",ECOTIP d.o.o.,Tovarniška cesta 4A,3210
TRUE,TRUE,98492462,,MERKUR - TRGOVINA IN STORITVE d.d.,MERKUR - TRGOVINA IN STOR,Cesta na okroglo 007,4202
TRUE,TRUE,56041039,,"VASCO, računalniški inženiring, d.o.o.,",VASCO d.o.o.,Poslovna cona A 21,4208
TRUE,TRUE,18910475,,"PR, šport in trgovina, d.o.o.","PR, d.o.o.",Puštal 101,4220
TRUE,TRUE,84885211,,"IKA, TRGOVSKO PODJETJE ŽIRI, d.o.o.","IKA, TRGOVSKO PODJETJE ŽI",Industrijska ulica 11,4226
TRUE,TRUE,81241038,,mimovrste d.o.o.,mimovrste d.o.o.,Cesta maršala Tita 22,4270
TRUE,TRUE,83552359,,A.B.C. AVTO CENTER d.o.o.,A.B.C. d.o.o.,"Kromberk, Industrijska cesta 3 a",5000
TRUE,TRUE,57604851,,AGM NOVA GORICA,AGM NOVA GORICA d.o.o.,Sočebranova 5,5000
TRUE,TRUE,60311843,,"ATELIER, organiziranje, zastopanje, svetovanje in ",ATELIER d.o.o.,Delpinova ulica 18B,5000
TRUE,TRUE,63570840,,"AVANTURER, proizvodnja, popravilo, prodaja in izpo",AVANTURER d.o.o.,Industrijska cesta 5,5000
TRUE,TRUE,14383489,,BELINGAR d.o.o. Nova Gorica,BELINGAR d.o.o. Nova Gorica,"Industrijska cesta 005, Kromberk",5000
TRUE,TRUE,70747717,,CENILEC - PETER PAHOR S.P.,CENILEC - PETER PAHOR S.P.,Cankarjeva ulica 11,5000
TRUE,TRUE,24850489,,CENTER ZA SOCIALNO DELO Nova Gorica,CSD NOVA GORICA,Delpinova ulica 18 B,5000
TRUE,TRUE,72508442,,"CVETLIČARNA SVENGALOVA, SVET CVETJA, ARANŽERSTVA IN NAKITA - BARBARA KOKOT S.P.",CVETLIČARNA SVENGALOVA - BARBARA KOKOT S.P.,Delpinova ulica 18B,5000
TRUE,TRUE,23410183,,"DANIJEL BELTRAM S.P. - STORITVE ČIŠČENJA, VZDRŽEVA",DANIJEL BELTRAM S.P., Grčna 77,5000
TRUE,TRUE,70310815,,DAVČNI URAD NOVA GORICA,DAVČNI URAD NOVA GORICA,Ulica Gradnikove brigade 2,5000
TRUE,TRUE,17851262,,E 3 d.o.o.,E 3 d.o.o.,Erjavčeva 24,5000
TRUE,TRUE,16229061,,EDA GOSTINSTVO IN TURIZEM,EDA d.o.o.,"Industrijska cesta 5, Kromberk",5000
TRUE,TRUE,97041823,,"EDAFM, upravljanje stavb, d.o.o.",EDAFM d.o.o.,Delpinova ulica 18 B,5000
TRUE,TRUE,45025754,,ELEKTRO BAVCON VALTER BAVCON S.P.,ELEKTRO BAVCON VALTER BAV,STARA GORA 15B,5000
TRUE,TRUE,37102656,,ELEKTRO PRIMORSKA D.D.,ELEKTRO PRIMORSKA d.d.,Erjavčeva 22,5000
TRUE,TRUE,23043037,,ETAŽNI LASTNIKI EDA CENTER NOVA GORICA,ETAŽNI LASTNIKI,"Delpinova ulica 18 A, B, C",5000
TRUE,TRUE,87489813,,EUROINVEST D.O.O.,EUROINVEST d.o.o.,"Industrijska cesta 5, Kromberk",5000
TRUE,TRUE,60530243,,EUROINVEST GRADNJE d.o.o.,EUROINVEST GRADNJE d.o.o.,INDUSTRIJSKA CESTA 5,5000
TRUE,TRUE,78769108,,Evropska pravna fakulteta,Evro-PF,Delpinova ulica 18 B,5000
TRUE,TRUE,58948864,,"FLEX Proizvodnja, storitve, trgovina d.o.o. Nova G",FLEX d.o.o. Nova Gorica,Ulica Gradnikove brigade 53,5000
TRUE,TRUE,86125273,,FOTOKOPIRANJE IN PRODAJA ŠPICA INES FON S.P.,ŠPICA INES FON,Delpinova 11,5000
TRUE,TRUE,78059038,,"GORIŠKA LOKALNA ENERGETSKA AGENCIJA, Nova Gorica","GOLEA, Nova Gorica",Trg Edvarda Kardelja 1,5000
TRUE,TRUE,12929816,,GRAMEXPORT Proizvodnja in trgovina d.o.o.,GRAMEXPORT d.o.o.,Industrijska cesta 5,5000
TRUE,TRUE,81378050,,GREMER d.o.o.,GREMER d.o.o.,"Ulica Vinka Vodopivca 28, Kromberk",5000
TRUE,TRUE,84022469,,HIDRAVLIKA CEJ TIHOMIR CEJ S.P.,TIHOMIR CEJ,"Cesta 25.junija 1 i, Kromberk",5000
TRUE,TRUE,70280690,,"INIEST INŽENIRING, ROK MOZETIČ S.P.","INIEST INŽENIRING, ROK MO",Kidričeva ulica 32A,5000
TRUE,TRUE,57703663,,INSTALACIJE IN SERVIS OGREVALNIH IN HLADILNIH NAPRAV BATIČ GREGOR S.P.,STROJNE INSTALACIJE GREGOR BATIČ S.P.,Grajska cesta 6,5000
TRUE,TRUE,71747761,,JAVNO PODJETJE KOMUNALNA ENERGETIKA Nova Gorica d.,Javno podjetje KENOG d.o.,Sedejeva ulica 7,5000
TRUE,TRUE,15824837,,KATJUŠA GORJAN - NOTARKA,KATJUŠA GORJAN - NOTARKA,Ulica XXX. divizije 23,5000
TRUE,TRUE,98491881,,KOMUNALA NOVA GORICA D.D.,KOMUNALA NOVA GORICA D.D.,"Cesta 25. Junija 1, Kromberk",5000
TRUE,TRUE,54643279,,"KURIVO GORICA Trgovina d.d. Nova Gorica_x000D_
KURIVO GO",KURIVO GORICA d.d. Nova G,Grčna 1,5000
TRUE,TRUE,53511450,,"LABORPLAST Trgovina, proizvodnja in storitve d.o.o",LABORPLAST d.o.o. Nova Go,Gortanova ulica 35,5000
TRUE,TRUE,30606551,,"LEAS, Trgovina in storitve d.o.o.",LEAS d.o.o.,Industrijska cesta 2,5000
TRUE,TRUE,30818311,,"MA-NO Podjetje za proizvodnjo, trgovino in posredo",MA-NO d.o.o.,Ledine 10,5000
TRUE,TRUE,15446077,,MEGATERM Trgovina in posredništvo d.o.o.,MEGATERM d.o.o.,Cesta 25. junija 1G,5000
TRUE,TRUE,53055730,,MESTNA OBČINA NOVA GORICA,MESTNA OBČINA NOVA GORICA,Trg Edvarda Kardelja 1,5000
TRUE,TRUE,61220523,,M-STIS d.o.o.,M-STIS d.o.o.,Erjavčeva ulica 17,5000
TRUE,TRUE,85161497,,OBRTNIK obrtna zadruga z.o.o. Nova Gorica,OZ OBRTNIK z.o.o. Nova Go,CANKARJEVA ULICA 62,5000
TRUE,TRUE,50861247,,"Odvetniška družba Matelič in Matelič, o.p., d.o.o.","Matelič in Matelič, o.p.,",Ulica Gradnikove brigade 6,5000
TRUE,TRUE,72502657,,Odvetniška pisarna Čehovin & Cvijanović d.o.o.,Odvetniška pisarna Čehovin & Cvijanović d.o.o.,Ulica Tolminskih puntarjev 4,5000
TRUE,TRUE,43975321,,"Odvetniška pisarna Devetak in partnerji, d.o.o.","Odvetniška pisarna Devetak in partnerji, d.o.o.",Prvomajska ulica 23,5000
TRUE,TRUE,33069239,,OKROŽNO SODIŠČE V NOVI GORICI,OKROŽNO SODIŠČE V NOVI GORICI,Prvomajska ulica 50,5000
TRUE,TRUE,67308805,,"PINSS Podjetje za projektiranje, inženiring, nadzor in strokovno svetovanje d.o.o.",PINSS d.o.o.,"Industrijska cesta 5, Kromberk",5000
TRUE,TRUE,86264362,,PITT d.o.o.,PITT d.o.o.,Partizanska cesta 55,5000
TRUE,TRUE,58294325,,PRODAJA IN STORITVE LANAJA JAŠA BERGINC S.P.,LANAJA JAŠA BERGINC S.P.,Delpinova ulica 18 B,5000
TRUE,TRUE,63228467,,PROFESIONALNI DOTIK LAS - FLAVIJ BONE S.P.,FLAVIJ BONE S.P.,DELPINOVA ULICA 18 B,5000
TRUE,TRUE,45172927,,SKOČAJ TISKARNA ROLADN SKOČAJ S.P.,SKOČAJ TISKARNA ROLADN SKOČAJ S.P.,Josipa Makuca 21,5000
TRUE,TRUE,68525427,,"SNEMANJE IN MONTAŽA FILMOV, DANIJEL BELINGAR S.P.",DANIJEL BELINGAR S.P.,Vinka Vodopivca 111,5000
TRUE,TRUE,71063471,,"STRU-REZ Obdelava kovin, proizvodnja in storitve d",STRU-REZ d.o.o.,INDUSTRIJSKA CESTA 5,5000
TRUE,TRUE,74833316,,"ŠTAMPILJKE ŽIŽA ŽIŽMOND SIMON S.P._x000D_
ŠTAMPILJKE ŽIŽ",SIMON ŽIŽMOND S.P.,Rejčeva ulica 5A,5000
TRUE,TRUE,28796004,,"TESTEN Proizvodnja, trgovina, storitve, d.o.o.",TESTEN d.o.o.,Kromberška cesta 1,5000
TRUE,TRUE,54594618,,TIK-TAK ŠKRLJ d.o.o.,TIK-TAK ŠKRLJ d.o.o.,Ulica Gradnikove brigade 7,5000
TRUE,TRUE,67337708,,TURISTIČNA ZVEZA NOVA GORICA,TURISTIČNA ZVEZA NOVA GORICA, ULICA TOLMINSKIH PUNTARJEV 4,5000
TRUE,TRUE,34705171,,VARMONT Varilstvo in ključavničarske storitve d.o.o.,VARMONT d.o.o.,Bevkov trg 6,5000
TRUE,TRUE,97624276,,VARNOST & INTERTRONICS Varovanje premoženja d.o.o.,VARNOST & INTERTRONICS d.,Ulica Gradnikove brigade 9,5000
TRUE,TRUE,44971478,,VISOKOŠOLSKO IN RAZISKOVALNO SREDIŠČE PRIMORSKE NOVA GORICA,VIRS Primorske,Delpinova ulica 18 b,5000
TRUE,TRUE,91503027,,VODOVODI IN KANALIZACIJA NOVA GORICA D.D.,VODOVODI IN KANALIZACIJA ,"Cesta 25. junija 1b, Kromberk",5000
TRUE,TRUE,64736164,,XENIUM d.o.o.,XENIUM d.o.o.,Cankarjeva 62,5000
TRUE,TRUE,44923023,,ZAŠIV SERVIS ŠIVALNIH STROJEV PERDEC ALENKA S.P.,ZAŠIV PERDEC ALENKA S.P.,Ulica Gradnikove brigade 35,5000
TRUE,TRUE,49603663,,STUBELJ D.O.O.,STUBELJ,Anhovo 14,5210
TRUE,TRUE,35394650,,ENERGETSKO SVETOVANJE - MATIC KUMAR S.P.,MATIC KUMAR S.P.,Vedrijan 7C,5211
TRUE,TRUE,81610416,,INSELT d.o.o.,INSELT d.o.o.,Zali Breg 10B,5212
TRUE,TRUE,59449837,,INVALIDSKO PODJETJE POSOČJE d.o.o.,IP POSOČJE d.o.o.,Poljubinj 89C,5220
TRUE,TRUE,66001439,,SPRINKLER SISTEMI CUDER D.O.O.,SPRINKLER SISTEMI CUDER,Ulica padlih borcev 11,5220
TRUE,TRUE,82560749,,"ARENA 1, trgovina in gostinstvo, d.o.o.",ARENA 1 d.o.o. ,Ulica Milojke Štrukelj 8,5250
TRUE,TRUE,64685942,,"Instrumentation Technologies, elektronska instrumentacija in produkti za procesiranje signalov, d.d.","Instrumentation Technologies, d.d.",Velika pot 22,5250
TRUE,TRUE,55374441,,MATERIA d.o.o.,MATERIA d.o.o.,Trg Marka Plenčiča 11,5250
TRUE,TRUE,89244052,,"VERTLES zastopstvo, trgovina in storitve d.o.o.",VERTLES d.o.o.,Cesta IX. Korpusa 89,5250
TRUE,TRUE,78664233,,AL-OK d.o.o.,AL-OK d.o.o.,Trnovo 12 B,5252
